FID,Gut_No_,Plot_No,Sector_No_,Node,Division,Village,Prabhag,Shape_Leng,Shape_Area,Lattitude,Longitude,Google Map Link 
89,12, , , ,Division1,Adivali_PL,prabhag1,13.3326759531,9.85539947268,19.0990992087,73.055614013,"https://www.google.com/maps/search/?api=1&query=19.0990992087,73.055614013"
90,1c, , , ,Division1,Adivali_PL,prabhag1,15.1806047372,14.2259500897,19.0989013835,73.0556456558,"https://www.google.com/maps/search/?api=1&query=19.0989013835,73.0556456558"
91,12, , , ,Division1,Adivali_PL,prabhag1,18.8531340029,21.0522938235,19.0990324713,73.0556412147,"https://www.google.com/maps/search/?api=1&query=19.0990324713,73.0556412147"
92, 50, , , ,Division1,Adivali_PL,prabhag1,26.4248456234,41.887732295,19.0955841153,73.0701439379,"https://www.google.com/maps/search/?api=1&query=19.0955841153,73.0701439379"
93,85, , , ,Division1,Adivali_PL,prabhag1,23.4975340601,29.9048481238,19.096425879,73.0641674256,"https://www.google.com/maps/search/?api=1&query=19.096425879,73.0641674256"
94,137iS, , , ,Division1,Dhansar,prabhag1,22.2278456354,30.7176376007,19.102539494,73.0840163112,"https://www.google.com/maps/search/?api=1&query=19.102539494,73.0840163112"
95,138, , , ,Division1,Dhansar,prabhag1,20.2550466273,23.8344787064,19.1020698806,73.0839836511,"https://www.google.com/maps/search/?api=1&query=19.1020698806,73.0839836511"
96,138, , , ,Division1,Dhansar,prabhag1,19.8188858637,23.1422047656,19.1020070593,73.0839943973,"https://www.google.com/maps/search/?api=1&query=19.1020070593,73.0839943973"
97, 104, , , ,Division1,Dhansar,prabhag1,407.9196715,7619.76072294,19.1041859465,73.0834550395,"https://www.google.com/maps/search/?api=1&query=19.1041859465,73.0834550395"
98,102, , ,,Division1,Dhansar,prabhag1,18.1582372004,17.6135809676,19.1051282853,73.0832327322,"https://www.google.com/maps/search/?api=1&query=19.1051282853,73.0832327322"
99,162, , ,,Division1,Dhansar,prabhag1,20.034230369,24.5703736452,19.1040736693,73.0794196007,"https://www.google.com/maps/search/?api=1&query=19.1040736693,73.0794196007"
100,149, , ,,Division1,Dhansar,prabhag1,175.552786912,1484.6056399,19.095598877,73.0788324923,"https://www.google.com/maps/search/?api=1&query=19.095598877,73.0788324923"
101,149, , ,,Division1,Dhansar,prabhag1,165.906314899,1439.76644309,19.0950766196,73.0790779869,"https://www.google.com/maps/search/?api=1&query=19.0950766196,73.0790779869"
102,139, , , ,Division1,Dhansar,prabhag1,24.0949450998,31.8415206231,19.1015827883,73.0829673689,"https://www.google.com/maps/search/?api=1&query=19.1015827883,73.0829673689"
103,139, , , ,Division1,Dhansar,prabhag1,30.6010408995,51.8459921364,19.1014805157,73.0827658039,"https://www.google.com/maps/search/?api=1&query=19.1014805157,73.0827658039"
104,139, , , ,Division1,Dhansar,prabhag1,41.25455076,103.599672277,19.1015893693,73.0821956311,"https://www.google.com/maps/search/?api=1&query=19.1015893693,73.0821956311"
105,139, , , ,Division1,Dhansar,prabhag1,43.852271449,89.8029890547,19.1014814222,73.0821973178,"https://www.google.com/maps/search/?api=1&query=19.1014814222,73.0821973178"
106,11, , , ,Division1,Ghot,prabhag1,66.891186214,196.247099606,19.0884306254,73.1208272907,"https://www.google.com/maps/search/?api=1&query=19.0884306254,73.1208272907"
107,11, , , ,Division1,Ghot,prabhag1,29.2463937333,51.1208208893,19.087444055,73.1216250426,"https://www.google.com/maps/search/?api=1&query=19.087444055,73.1216250426"
108,11, , , ,Division1,Ghot,prabhag1,38.078419284,69.1847667737,19.0876433397,73.1215408319,"https://www.google.com/maps/search/?api=1&query=19.0876433397,73.1215408319"
109,11, , , ,Division1,Ghot,prabhag1,51.4440489723,125.543531856,19.0875458377,73.1214929711,"https://www.google.com/maps/search/?api=1&query=19.0875458377,73.1214929711"
110,31, , , ,Division1,Ghot,prabhag1,21.3571821031,26.0026037105,19.0894879176,73.1144802513,"https://www.google.com/maps/search/?api=1&query=19.0894879176,73.1144802513"
