FID,Gut_No_,Plot_No,Sector_No_,Node,Division,Village,Prabhag,Shape_Leng,Shape_Area,Lattitude,Longitude,Google Map Link 
21, , , ,,Division4,Panvel_map,prabhag 19,65.2332013685,237.147691291,18.9777345139,73.1155058974,"https://www.google.com/maps/search/?api=1&query=18.9777345139,73.1155058974"
22, , , ,,Division2,Padagha,prabhag2,176.416824945,1935.10198127,19.0524786768,73.1176546632,"https://www.google.com/maps/search/?api=1&query=19.0524786768,73.1176546632"
23, , , ,,Division2,Padagha,prabhag2,101.61737036,611.58135123,19.0490862474,73.1215093576,"https://www.google.com/maps/search/?api=1&query=19.0490862474,73.1215093576"
24, , , ,,Division2,Padagha,prabhag2,65.1047837904,165.000567341,19.0487829743,73.1211964223,"https://www.google.com/maps/search/?api=1&query=19.0487829743,73.1211964223"
25, , , ,,Division2,palekhurd,prabhag2,51.9415335409,135.077495825,19.0793236086,73.1482660662,"https://www.google.com/maps/search/?api=1&query=19.0793236086,73.1482660662"
26, , , ,,Division2,palekhurd,prabhag2,16.1683226984,16.1359488896,19.0790896659,73.150557579,"https://www.google.com/maps/search/?api=1&query=19.0790896659,73.150557579"
27, , , ,,Division2,palekhurd,prabhag2,20.6791699103,26.483376942,19.0786260147,73.1509915524,"https://www.google.com/maps/search/?api=1&query=19.0786260147,73.1509915524"
28, , , ,,Division2,palekhurd,prabhag2,49.3570505727,150.362694058,19.0727216888,73.1531003545,"https://www.google.com/maps/search/?api=1&query=19.0727216888,73.1531003545"
29, , , ,,Division2,palekhurd,prabhag2,60.5890065521,228.16173826,19.0775388298,73.1464162419,"https://www.google.com/maps/search/?api=1&query=19.0775388298,73.1464162419"
30, , , ,,Division2,palekhurd,prabhag2,27.1337393121,43.0471010724,19.0723577711,73.1460557183,"https://www.google.com/maps/search/?api=1&query=19.0723577711,73.1460557183"
31, , , ,,Division2,Tondhare,prabhag2,49.4221923039,139.169288341,19.0824492162,73.1320056053,"https://www.google.com/maps/search/?api=1&query=19.0824492162,73.1320056053"
32, , , ,,Division2,Tondhare,prabhag2,84.9023472647,290.016854731,19.0710670411,73.1306775407,"https://www.google.com/maps/search/?api=1&query=19.0710670411,73.1306775407"
33, , , ,,Division2,Tondhare,prabhag2,50.9710483766,158.980004164,19.0726646795,73.1257857221,"https://www.google.com/maps/search/?api=1&query=19.0726646795,73.1257857221"
34, , , ,,Division2,Tondhare,prabhag2,64.7642581172,220.985680959,19.0737345963,73.1249985657,"https://www.google.com/maps/search/?api=1&query=19.0737345963,73.1249985657"
35, , , ,,Division2,Tondhare,prabhag2,169.742438013,1762.94465763,19.0697147659,73.1320989445,"https://www.google.com/maps/search/?api=1&query=19.0697147659,73.1320989445"
36, , , ,,Division2,Tondhare,prabhag2,38.8370445882,93.7064367784,19.0785480839,73.1272713223,"https://www.google.com/maps/search/?api=1&query=19.0785480839,73.1272713223"
37, , , ,,Division2,Tondhare,prabhag2,56.1417030732,174.965053547,19.0787104136,73.1298026385,"https://www.google.com/maps/search/?api=1&query=19.0787104136,73.1298026385"
38, , , ,,Division2,Tondhare,prabhag2,53.6123059193,174.40265742,19.0784902021,73.1297767569,"https://www.google.com/maps/search/?api=1&query=19.0784902021,73.1297767569"
39, , , ,,Division2,Tondhare,prabhag2,59.9786490031,201.516901256,19.0785184661,73.1299658934,"https://www.google.com/maps/search/?api=1&query=19.0785184661,73.1299658934"
40, , , ,,Division2,Tondhare,prabhag2,58.5181599595,122.428369337,19.0749621617,73.1292251982,"https://www.google.com/maps/search/?api=1&query=19.0749621617,73.1292251982"
41, , , ,,Division2,Tondhare,prabhag2,166.923792414,1469.99592755,19.072181356,73.1280688556,"https://www.google.com/maps/search/?api=1&query=19.072181356,73.1280688556"
42, , , ,,Division2,Chal,prabhag2,87.3215556783,433.396895531,19.095722615,73.1127845565,"https://www.google.com/maps/search/?api=1&query=19.095722615,73.1127845565"
43, , , ,,Division2,Chal,prabhag2,66.5877062601,187.614817566,19.0932543963,73.1117282917,"https://www.google.com/maps/search/?api=1&query=19.0932543963,73.1117282917"
44, , , ,,Division2,Chal,prabhag2,51.9666158677,144.594013108,19.0866027821,73.1234935501,"https://www.google.com/maps/search/?api=1&query=19.0866027821,73.1234935501"
45, , , ,,Division2,Chal,prabhag2,40.5637912659,78.6403245294,19.0956926974,73.1124061846,"https://www.google.com/maps/search/?api=1&query=19.0956926974,73.1124061846"
46, , , ,,Division2,Chal,prabhag2,29.5393207224,54.2547500636,19.0938197131,73.1244126471,"https://www.google.com/maps/search/?api=1&query=19.0938197131,73.1244126471"
47, , , ,,Division2,Chal,prabhag2,52.2962384822,164.844013447,19.0963341609,73.1145211525,"https://www.google.com/maps/search/?api=1&query=19.0963341609,73.1145211525"
48, , , ,,Division2,Chal,prabhag2,57.9302824781,174.621515039,19.0929352053,73.1131423547,"https://www.google.com/maps/search/?api=1&query=19.0929352053,73.1131423547"
49, , , ,,Division2,Chal,prabhag2,179.280040997,1179.46508843,19.0905503899,73.1249020592,"https://www.google.com/maps/search/?api=1&query=19.0905503899,73.1249020592"
50, , , ,,Division2,Devichapada,prabhag2,53.4064482017,169.994599378,19.0724824096,73.1441406051,"https://www.google.com/maps/search/?api=1&query=19.0724824096,73.1441406051"
51, , , ,,Division2,Devichapada,prabhag2,21.7944718309,28.2227455241,19.0709356309,73.1430055369,"https://www.google.com/maps/search/?api=1&query=19.0709356309,73.1430055369"
52, , , ,,Division2,Devichapada,prabhag2,131.303458744,936.26533323,19.0718131619,73.1385278979,"https://www.google.com/maps/search/?api=1&query=19.0718131619,73.1385278979"
53, , , ,,Division2,Devichapada,prabhag2,31.149998767,54.6395519984,19.0709239522,73.1432248682,"https://www.google.com/maps/search/?api=1&query=19.0709239522,73.1432248682"
54, , , ,,Division2,Devichapada,prabhag2,44.957560739,111.085905042,19.0728761679,73.1439149294,"https://www.google.com/maps/search/?api=1&query=19.0728761679,73.1439149294"
55, , , ,,Division4,Panvel_map,prabhag 20,18.8920601776,22.2474012767,18.9819630569,73.122492328,"https://www.google.com/maps/search/?api=1&query=18.9819630569,73.122492328"
56, , , ,,Division4,Panvel_map,prabhag 20,14.7574040009,13.5332470004,18.9812809891,73.1221026018,"https://www.google.com/maps/search/?api=1&query=18.9812809891,73.1221026018"
57, , , ,,Division4,Panvel_map,prabhag 20,18.9428021323,22.4243393814,18.9813396157,73.1220692507,"https://www.google.com/maps/search/?api=1&query=18.9813396157,73.1220692507"
58, , , ,,Division4,Panvel_map,prabhag 20,15.2923405874,14.6143628687,18.9812959947,73.1221589357,"https://www.google.com/maps/search/?api=1&query=18.9812959947,73.1221589357"
59, , , ,,Division4,Panvel_map,prabhag 20,19.5563938929,23.7567614433,18.9813652649,73.1221476061,"https://www.google.com/maps/search/?api=1&query=18.9813652649,73.1221476061"
60, , , ,,Division4,Panvel_map,prabhag 20,15.9699467972,15.9331509387,18.9813148941,73.1219399953,"https://www.google.com/maps/search/?api=1&query=18.9813148941,73.1219399953"
61, , , ,,Division4,Panvel_map,prabhag 20,16.3885901873,16.7503818406,18.9814203276,73.1220206135,"https://www.google.com/maps/search/?api=1&query=18.9814203276,73.1220206135"
62, , , ,,Division4,Panvel_map,prabhag 20,49.4225645726,150.707512746,18.9807346982,73.123059156,"https://www.google.com/maps/search/?api=1&query=18.9807346982,73.123059156"
63, , , ,,Division4,Kalundre (C.T.),prabhag 20,60.5680826646,214.634929928,18.9693860027,73.1213825465,"https://www.google.com/maps/search/?api=1&query=18.9693860027,73.1213825465"
64, , , ,,Division4,Kalundre (C.T.),prabhag 20,56.6968483626,197.0886466,18.9701648864,73.1203739391,"https://www.google.com/maps/search/?api=1&query=18.9701648864,73.1203739391"
65, , , ,,Division4,Kalundre (C.T.),prabhag 20,33.0427158654,60.0596885837,18.9718651317,73.1177698316,"https://www.google.com/maps/search/?api=1&query=18.9718651317,73.1177698316"
66, , , ,,Division4,Kalundre (C.T.),prabhag 20,13.3679700926,10.0324947735,18.9725154101,73.1175650734,"https://www.google.com/maps/search/?api=1&query=18.9725154101,73.1175650734"
67, , , ,,Division4,Kalundre (C.T.),prabhag 20,34.4779261224,72.8221006692,18.9735391745,73.119759256,"https://www.google.com/maps/search/?api=1&query=18.9735391745,73.119759256"
68, , , ,,Division4,Kalundre (C.T.),prabhag 20,18.1056714362,19.5558568766,18.9729240292,73.1178991057,"https://www.google.com/maps/search/?api=1&query=18.9729240292,73.1178991057"
69, , , ,,Division4,Kalundre (C.T.),prabhag 20,128.585725978,593.810729321,18.9758324431,73.1186121277,"https://www.google.com/maps/search/?api=1&query=18.9758324431,73.1186121277"
70, , , ,,Division4,Kalundre (C.T.),prabhag 20,96.6437909389,276.725472757,18.9763327101,73.1181596502,"https://www.google.com/maps/search/?api=1&query=18.9763327101,73.1181596502"
71, , , ,,Division4,Kalundre (C.T.),prabhag 20,44.6420692355,91.7028193744,18.9755036714,73.1183851222,"https://www.google.com/maps/search/?api=1&query=18.9755036714,73.1183851222"
72, , , ,,Division4,Kalundre (C.T.),prabhag 20,31.715930418,62.7421230422,18.9729208054,73.1211491149,"https://www.google.com/maps/search/?api=1&query=18.9729208054,73.1211491149"
73, , , ,,Division4,Kalundre (C.T.),prabhag 20,26.7900458778,43.8398242578,18.9730962893,73.1213735251,"https://www.google.com/maps/search/?api=1&query=18.9730962893,73.1213735251"
74, , , ,,Division4,Kalundre (C.T.),prabhag 20,27.2554736815,43.4348560876,18.9726909901,73.1215050261,"https://www.google.com/maps/search/?api=1&query=18.9726909901,73.1215050261"
75, , , ,,Division2,Walawali,Prabhag 9,46.3276658233,127.795555657,19.0337064297,73.1247314854,"https://www.google.com/maps/search/?api=1&query=19.0337064297,73.1247314854"
76, , , ,,Division2,Walawali,Prabhag 9,19.4650806,23.6792071402,19.0335266456,73.1266968557,"https://www.google.com/maps/search/?api=1&query=19.0335266456,73.1266968557"
77, , , ,,Division2,Walawali,Prabhag 9,65.0538979345,260.460209791,19.0339404424,73.1292798509,"https://www.google.com/maps/search/?api=1&query=19.0339404424,73.1292798509"
78, , , ,,Division2,Walawali,Prabhag 9,33.1567968256,68.6675916908,19.0367542021,73.1276432341,"https://www.google.com/maps/search/?api=1&query=19.0367542021,73.1276432341"
79, , , ,,Division2,Tembhode,Prabhag 9,71.1025369048,272.177495208,19.0182935859,73.1220167144,"https://www.google.com/maps/search/?api=1&query=19.0182935859,73.1220167144"
80, , , ,,Division2,Tembhode,Prabhag 9,39.4363817221,96.9917612228,19.0271674409,73.1369720304,"https://www.google.com/maps/search/?api=1&query=19.0271674409,73.1369720304"
81, , , ,,Division2,Tembhode,Prabhag 9,29.8283999991,55.5473807965,19.0278701422,73.1268734104,"https://www.google.com/maps/search/?api=1&query=19.0278701422,73.1268734104"
82, , , ,,Division2,Tembhode,Prabhag 9,45.4841780051,129.262553292,19.025550603,73.1259166147,"https://www.google.com/maps/search/?api=1&query=19.025550603,73.1259166147"
83, , , ,,Division2,Asudgoan,Prabhag 9,35.3734095219,76.8406099628,19.0163888447,73.1205830768,"https://www.google.com/maps/search/?api=1&query=19.0163888447,73.1205830768"
84, , , ,,Division2,Asudgoan,Prabhag 9,22.4204838288,31.3269076866,19.0150362111,73.1213936772,"https://www.google.com/maps/search/?api=1&query=19.0150362111,73.1213936772"
85, , , ,,Division2,Asudgoan,Prabhag 9,58.6074748383,214.17888612,19.0154573759,73.1195980203,"https://www.google.com/maps/search/?api=1&query=19.0154573759,73.1195980203"
86, , , ,,Division2,Asudgoan,Prabhag 9,27.1771779148,43.1229386137,19.0156069559,73.1194647029,"https://www.google.com/maps/search/?api=1&query=19.0156069559,73.1194647029"
87, , , ,,Division2,Asudgoan,Prabhag 9,26.9320924056,39.7975170756,19.0155634857,73.1196498292,"https://www.google.com/maps/search/?api=1&query=19.0155634857,73.1196498292"
88, , , ,,Division2,Walawali,Prabhag 9,37.9944586488,89.2027688209,19.0276874447,73.1376690161,"https://www.google.com/maps/search/?api=1&query=19.0276874447,73.1376690161"
